,Date,City,PM2.5,PM10,NO2,SO2,CO,O3,AQI,AQI_Bucket
34617,2018-09-24,Delhi,17.59,32.88,26.63,9.29,0.92,6.78,58.0,Satisfactory
87561,2018-09-24,Hyderabad,28.33,61.38,64.27,4.19,0.67,4.67,48.0,Good
16159,2018-09-24,Delhi,13.78,54.27,17.03,14.21,0.69,30.04,64.0,Satisfactory
25410,2018-09-24,Delhi,15.32,24.43,28.3,12.56,0.75,10.48,47.0,Good
27321,2018-09-24,Delhi,17.33,25.11,29.02,10.41,0.58,12.53,45.0,Good
10405,2018-09-24,Delhi,20.0,31.73,8.18,8.96,0.83,17.26,51.0,Satisfactory
82580,2018-09-24,Jaipur,17.77,36.82,11.11,13.16,0.61,20.68,42.0,Good
49728,2018-09-24,Delhi,20.14,60.38,24.19,10.33,1.09,3.75,77.0,Satisfactory
43006,2018-09-24,Delhi,22.39,36.34,75.13,16.85,0.67,83.58,86.0,Satisfactory
304,2018-09-24,Amaravati,18.81,50.51,14.01,14.67,0.92,20.67,89.0,Satisfactory
17041,2018-09-24,Delhi,12.47,30.74,20.96,8.27,1.07,16.35,66.0,Satisfactory
34618,2018-09-25,Delhi,26.35,46.79,23.33,6.18,0.98,17.68,60.0,Satisfactory
48847,2018-09-25,Delhi,12.21,27.02,14.55,5.5,0.39,33.99,52.0,Satisfactory
40061,2018-09-25,Delhi,23.19,127.46,46.24,11.11,1.63,12.31,96.0,Satisfactory
80485,2018-09-25,Jaipur,30.09,118.43,42.03,10.23,1.39,20.43,94.0,Satisfactory
62706,2018-09-25,Bengaluru,19.7,36.81,27.5,3.44,0.97,26.31,70.0,Satisfactory
43889,2018-09-25,Delhi,26.44,39.56,8.97,13.13,0.58,16.2,43.0,Good
7766,2018-09-25,Delhi,28.88,61.18,66.58,21.38,2.4,10.47,167.0,Moderate
91333,2018-09-25,Hyderabad,59.38,90.34,42.48,2.94,0.79,32.5,88.0,Satisfactory
29963,2018-09-25,Delhi,16.81,51.11,13.04,27.63,0.79,28.86,48.0,Good
23647,2018-09-25,Delhi,27.48,36.0,36.81,3.01,0.85,14.9,53.0,Satisfactory
10406,2018-09-25,Delhi,22.24,37.91,4.58,8.15,0.81,28.13,48.0,Good
15278,2018-09-25,Delhi,16.31,32.67,28.98,6.76,0.38,18.81,30.0,Good
83814,2018-09-25,Hyderabad,48.35,104.6,25.99,4.85,0.84,9.03,96.0,Satisfactory
27322,2018-09-25,Delhi,19.61,33.54,30.92,10.35,0.67,17.56,48.0,Good
32854,2018-09-25,Delhi,7.61,13.79,10.88,2.65,1.0,48.84,63.0,Satisfactory
25411,2018-09-25,Delhi,15.97,35.91,22.9,12.13,0.74,19.81,48.0,Good
63436,2018-09-25,Bengaluru,27.12,64.04,142.83,11.46,1.62,99.01,107.0,Moderate
17042,2018-09-25,Delhi,12.99,54.88,14.98,9.62,1.17,27.81,64.0,Satisfactory
37418,2018-09-25,Delhi,18.82,49.08,9.54,0.69,0.67,10.78,43.0,Good
48117,2018-09-25,Delhi,13.65,30.86,12.61,5.81,0.73,18.1,43.0,Good
84929,2018-09-25,Hyderabad,33.95,83.99,32.28,2.61,0.46,27.95,86.0,Satisfactory
8648,2018-09-25,Delhi,16.23,50.92,42.4,14.78,0.38,14.63,36.0,Good
72201,2018-09-25,Mumbai,33.86,77.88,25.06,14.14,1.55,36.72,92.0,Satisfactory
86162,2018-09-25,Hyderabad,33.48,75.61,12.45,15.5,0.37,27.53,77.0,Satisfactory
82581,2018-09-25,Jaipur,31.37,76.43,13.72,14.23,0.77,24.73,59.0,Satisfactory
49729,2018-09-25,Delhi,21.46,79.16,20.95,10.82,1.08,6.04,80.0,Satisfactory
68616,2018-09-25,Bengaluru,35.22,95.71,49.5,5.11,1.64,19.54,127.0,Moderate
36536,2018-09-25,Delhi,25.27,60.27,8.7,8.83,0.85,6.87,52.0,Satisfactory
70192,2018-09-25,Thiruvananthapuram,24.56,45.89,9.65,5.71,0.95,36.49,62.0,Satisfactory
1767,2018-09-25,Visakhapatnam,28.61,79.11,31.75,2.01,0.43,33.31,86.0,Satisfactory
87562,2018-09-25,Hyderabad,31.51,80.2,69.78,4.46,0.69,3.72,74.0,Satisfactory
29233,2018-09-25,Delhi,19.94,29.8,26.36,7.36,1.35,26.58,70.0,Satisfactory
16160,2018-09-25,Delhi,15.73,73.31,29.49,17.16,1.05,30.58,64.0,Satisfactory
107389,2018-09-25,Kolkata,35.85,63.79,42.61,3.73,1.28,15.07,75.0,Satisfactory
305,2018-09-25,Amaravati,26.13,60.44,22.94,27.0,0.82,30.84,59.0,Satisfactory
39331,2018-09-25,Delhi,24.56,24.56,35.9,11.6,0.57,53.6,95.0,Satisfactory
24529,2018-09-25,Delhi,46.52,74.58,29.26,7.13,1.62,16.49,92.0,Satisfactory
60272,2018-09-25,Bengaluru,35.89,86.61,59.22,8.73,1.11,10.94,83.0,Satisfactory
33736,2018-09-25,Delhi,20.8,34.42,16.61,4.75,0.56,16.76,42.0,Good
64174,2018-09-25,Bengaluru,18.57,38.43,63.45,9.21,0.79,34.55,94.0,Satisfactory
81599,2018-09-25,Jaipur,57.13,164.84,17.63,6.05,1.31,17.65,120.0,Moderate
43007,2018-09-25,Delhi,29.01,53.94,40.89,17.05,0.85,81.79,88.0,Satisfactory
80486,2018-09-26,Jaipur,49.23,158.79,47.25,8.44,1.26,18.51,142.0,Moderate
84930,2018-09-26,Hyderabad,44.96,110.44,41.76,3.13,0.69,28.28,106.0,Moderate
40062,2018-09-26,Delhi,40.95,186.28,56.3,10.17,1.63,15.02,166.0,Moderate
8649,2018-09-26,Delhi,28.62,90.02,48.46,15.4,0.43,27.72,81.0,Satisfactory
43008,2018-09-26,Delhi,46.53,112.08,54.25,17.87,0.71,71.44,91.0,Satisfactory
60273,2018-09-26,Bengaluru,49.71,111.64,39.21,9.16,1.08,12.89,114.0,Moderate
107390,2018-09-26,Kolkata,46.55,75.42,44.05,3.41,1.44,17.11,91.0,Satisfactory
43890,2018-09-26,Delhi,53.19,108.46,15.21,15.04,1.02,19.82,78.0,Satisfactory
33737,2018-09-26,Delhi,35.86,73.51,23.67,3.87,0.73,21.35,52.0,Satisfactory
82582,2018-09-26,Jaipur,41.61,98.68,18.81,10.14,1.46,22.23,101.0,Moderate
87563,2018-09-26,Hyderabad,39.34,89.64,70.02,4.19,0.58,4.43,93.0,Satisfactory
24530,2018-09-26,Delhi,78.67,166.51,37.01,10.12,1.92,21.71,123.0,Moderate
29234,2018-09-26,Delhi,32.0,58.86,24.78,7.13,1.57,16.48,88.0,Satisfactory
17043,2018-09-26,Delhi,29.86,159.46,24.21,9.3,1.86,26.4,108.0,Moderate
48118,2018-09-26,Delhi,34.53,97.31,19.31,5.77,1.29,27.05,78.0,Satisfactory
10407,2018-09-26,Delhi,43.49,112.17,5.88,7.65,1.05,32.66,77.0,Satisfactory
15279,2018-09-26,Delhi,38.42,89.94,36.65,7.3,0.58,19.23,67.0,Satisfactory
49730,2018-09-26,Delhi,33.68,111.11,24.41,12.31,1.66,13.7,100.0,Satisfactory
81600,2018-09-26,Jaipur,67.4,187.44,18.14,6.96,1.14,18.95,163.0,Moderate
68617,2018-09-26,Bengaluru,44.65,129.78,44.87,5.34,1.24,16.21,124.0,Moderate
39332,2018-09-26,Delhi,206.17,206.17,42.35,11.85,0.82,102.27,294.0,Poor
25412,2018-09-26,Delhi,28.15,71.53,29.81,12.77,1.06,30.03,91.0,Satisfactory
72202,2018-09-26,Mumbai,32.52,71.2,29.12,15.17,1.57,38.59,91.0,Satisfactory
27323,2018-09-26,Delhi,33.02,99.57,40.09,10.5,1.07,34.16,107.0,Moderate
62707,2018-09-26,Bengaluru,23.04,44.32,19.02,3.54,0.62,27.27,68.0,Satisfactory
63437,2018-09-26,Bengaluru,24.04,52.7,39.6,7.11,0.54,56.87,111.0,Moderate
306,2018-09-26,Amaravati,24.08,45.81,27.49,13.47,0.84,27.49,62.0,Satisfactory
37419,2018-09-26,Delhi,32.44,102.51,14.13,1.41,1.05,18.67,88.0,Satisfactory
36537,2018-09-26,Delhi,42.4,115.0,10.66,10.96,1.18,10.78,94.0,Satisfactory
32855,2018-09-26,Delhi,18.82,41.08,13.99,4.0,1.1,45.85,80.0,Satisfactory
16161,2018-09-26,Delhi,29.86,122.73,42.46,23.67,1.39,40.2,108.0,Moderate
83815,2018-09-26,Hyderabad,61.85,136.16,32.39,10.83,0.83,6.44,118.0,Moderate
23648,2018-09-26,Delhi,42.38,67.39,38.36,6.5,0.97,26.81,74.0,Satisfactory
7767,2018-09-26,Delhi,48.9,188.36,85.68,21.23,2.09,19.77,192.0,Moderate
91334,2018-09-26,Hyderabad,72.06,110.91,43.47,3.47,1.13,27.37,134.0,Moderate
70193,2018-09-26,Thiruvananthapuram,24.19,47.71,6.06,6.39,0.86,37.66,57.0,Satisfactory
48848,2018-09-26,Delhi,24.6,60.22,14.99,6.82,0.55,40.01,86.0,Satisfactory
29964,2018-09-26,Delhi,46.94,163.35,23.57,23.66,1.11,30.75,96.0,Satisfactory
34619,2018-09-26,Delhi,38.72,91.62,32.52,7.45,1.27,24.93,89.0,Satisfactory
86163,2018-09-26,Hyderabad,40.2,89.9,16.71,15.58,0.37,23.29,88.0,Satisfactory
1768,2018-09-26,Visakhapatnam,34.19,104.24,38.97,3.82,0.65,22.36,98.0,Satisfactory
91335,2018-09-27,Hyderabad,62.6,84.62,43.43,2.74,0.84,36.12,118.0,Moderate
15280,2018-09-27,Delhi,69.51,158.55,40.81,7.28,0.94,20.48,123.0,Moderate
37420,2018-09-27,Delhi,68.72,182.14,15.75,1.59,1.48,23.25,136.0,Moderate
36538,2018-09-27,Delhi,75.79,183.85,12.66,9.77,1.9,16.92,142.0,Moderate
48119,2018-09-27,Delhi,73.5,183.41,22.84,6.32,1.78,33.07,149.0,Moderate
25413,2018-09-27,Delhi,60.97,129.62,35.52,14.54,2.35,37.65,141.0,Moderate
81601,2018-09-27,Jaipur,65.71,181.34,17.64,6.92,1.24,18.71,156.0,Moderate
34620,2018-09-27,Delhi,84.26,175.5,43.81,7.63,2.17,37.67,140.0,Moderate
60274,2018-09-27,Bengaluru,35.65,71.52,36.6,8.01,0.98,13.08,85.0,Satisfactory
49731,2018-09-27,Delhi,77.68,192.83,32.0,12.78,1.79,21.29,139.0,Moderate
68618,2018-09-27,Bengaluru,46.72,96.73,40.42,7.59,1.59,18.38,102.0,Moderate
39333,2018-09-27,Delhi,75.41,75.41,54.56,11.25,1.46,181.08,297.0,Poor
50613,2018-09-27,Delhi,81.62,172.78,48.34,24.63,1.61,28.52,130.0,Moderate
72203,2018-09-27,Mumbai,37.21,76.15,33.05,13.64,1.58,49.45,90.0,Satisfactory
10408,2018-09-27,Delhi,79.99,193.86,7.24,7.1,1.33,38.39,142.0,Moderate
29965,2018-09-27,Delhi,81.1,310.96,32.22,32.95,1.46,34.27,215.0,Poor
32856,2018-09-27,Delhi,37.9,86.89,17.09,5.56,1.24,47.33,94.0,Satisfactory
70194,2018-09-27,Thiruvananthapuram,22.38,41.11,6.63,5.6,0.96,44.87,66.0,Satisfactory
24531,2018-09-27,Delhi,95.73,223.3,40.03,10.15,2.23,21.35,227.0,Poor
43009,2018-09-27,Delhi,85.14,187.89,58.04,18.05,2.37,70.31,185.0,Moderate
83816,2018-09-27,Hyderabad,44.43,86.09,18.08,7.62,0.51,12.8,101.0,Moderate
62708,2018-09-27,Bengaluru,29.0,61.03,36.85,4.07,1.32,16.79,44.0,Good
33738,2018-09-27,Delhi,69.82,145.78,31.11,5.64,1.03,24.01,108.0,Moderate
43891,2018-09-27,Delhi,86.14,207.65,23.69,16.27,1.79,17.64,148.0,Moderate
1769,2018-09-27,Visakhapatnam,36.81,92.5,34.54,4.44,0.54,17.16,99.0,Satisfactory
107391,2018-09-27,Kolkata,57.59,88.21,49.83,2.82,1.55,16.0,99.0,Satisfactory
87564,2018-09-27,Hyderabad,33.55,67.42,65.59,6.0,0.47,3.77,71.0,Satisfactory
29235,2018-09-27,Delhi,63.99,103.06,19.57,6.97,1.73,21.32,107.0,Moderate
63438,2018-09-27,Bengaluru,27.29,51.98,25.68,1.61,0.94,47.46,101.0,Moderate
27324,2018-09-27,Delhi,74.16,112.39,48.2,10.95,2.18,40.44,147.0,Moderate
48849,2018-09-27,Delhi,43.33,97.07,14.28,8.22,0.71,48.32,122.0,Moderate
16162,2018-09-27,Delhi,53.59,177.81,53.55,24.75,1.52,49.33,166.0,Moderate
17044,2018-09-27,Delhi,76.31,299.73,33.11,9.59,2.83,31.16,202.0,Poor
7768,2018-09-27,Delhi,97.66,350.43,112.91,24.23,3.51,21.4,270.0,Poor
82583,2018-09-27,Jaipur,50.51,101.42,28.75,12.18,0.76,18.07,111.0,Moderate
86164,2018-09-27,Hyderabad,39.56,77.28,16.94,16.11,0.36,29.32,82.0,Satisfactory
80487,2018-09-27,Jaipur,49.41,137.89,43.82,7.5,1.25,19.94,133.0,Moderate
307,2018-09-27,Amaravati,21.81,37.31,28.22,17.33,0.62,25.36,52.0,Satisfactory
8650,2018-09-27,Delhi,66.46,177.54,57.17,16.2,0.5,37.08,124.0,Moderate
23649,2018-09-27,Delhi,85.42,127.26,45.31,3.25,1.45,31.9,147.0,Moderate
40063,2018-09-27,Delhi,58.22,181.06,57.45,11.15,2.26,22.09,159.0,Moderate
84931,2018-09-27,Hyderabad,34.99,77.43,37.43,3.1,0.53,36.21,109.0,Moderate
24532,2018-09-28,Delhi,117.62,300.96,49.92,11.56,2.62,29.29,252.0,Poor
81602,2018-09-28,Jaipur,72.77,201.22,12.68,9.87,1.48,20.34,168.0,Moderate
32857,2018-09-28,Delhi,49.04,123.4,17.88,7.02,1.49,38.51,111.0,Moderate
63439,2018-09-28,Bengaluru,23.4,53.1,20.89,1.47,0.72,28.07,83.0,Satisfactory
43010,2018-09-28,Delhi,97.09,202.58,60.82,19.13,2.76,64.94,252.0,Poor
16163,2018-09-28,Delhi,67.29,214.56,59.97,23.93,1.57,53.45,202.0,Poor
80488,2018-09-28,Jaipur,41.18,120.67,38.4,11.29,0.93,27.82,121.0,Moderate
83817,2018-09-28,Hyderabad,43.9,91.51,20.47,4.75,0.55,9.8,92.0,Satisfactory
40064,2018-09-28,Delhi,57.96,188.14,75.06,11.64,2.26,15.89,167.0,Moderate
86165,2018-09-28,Hyderabad,47.85,112.66,18.84,17.44,0.4,18.55,103.0,Moderate
10409,2018-09-28,Delhi,96.78,275.78,11.65,7.8,1.59,42.38,199.0,Moderate
34621,2018-09-28,Delhi,99.83,221.35,46.26,9.99,2.81,32.08,199.0,Moderate
17045,2018-09-28,Delhi,84.77,373.1,42.5,15.57,3.15,24.11,296.0,Poor
8651,2018-09-28,Delhi,81.98,232.79,65.51,17.13,0.67,38.38,171.0,Moderate
49732,2018-09-28,Delhi,119.03,256.4,39.77,13.56,2.13,32.84,224.0,Poor
107392,2018-09-28,Kolkata,63.57,97.56,52.45,5.17,1.52,19.57,102.0,Moderate
36539,2018-09-28,Delhi,95.02,243.22,15.73,11.92,2.38,12.11,195.0,Moderate
62709,2018-09-28,Bengaluru,29.07,58.43,28.06,3.53,0.81,15.8,69.0,Satisfactory
7769,2018-09-28,Delhi,120.16,493.9,131.55,21.44,3.64,23.22,387.0,Very Poor
29966,2018-09-28,Delhi,100.38,394.35,39.0,26.54,1.77,30.88,322.0,Very Poor
82584,2018-09-28,Jaipur,59.62,86.69,26.85,12.03,1.61,25.58,113.0,Moderate
72204,2018-09-28,Mumbai,44.86,107.68,37.4,15.19,2.0,50.39,108.0,Moderate
15281,2018-09-28,Delhi,84.92,208.38,45.5,7.45,1.16,22.82,174.0,Moderate
37421,2018-09-28,Delhi,68.81,203.74,20.25,1.7,1.74,22.49,161.0,Moderate
48120,2018-09-28,Delhi,70.22,192.3,28.52,6.84,1.88,37.18,163.0,Moderate
29236,2018-09-28,Delhi,56.29,101.71,18.81,6.4,0.88,19.5,106.0,Moderate
91336,2018-09-28,Hyderabad,61.15,88.15,40.42,2.28,0.75,28.24,106.0,Moderate
25414,2018-09-28,Delhi,66.92,158.41,41.18,16.18,2.92,31.25,153.0,Moderate
33739,2018-09-28,Delhi,94.0,213.79,41.93,7.43,1.32,29.52,188.0,Moderate
87565,2018-09-28,Hyderabad,46.93,114.19,75.12,6.69,0.63,3.69,97.0,Satisfactory
70195,2018-09-28,Thiruvananthapuram,26.0,45.3,7.34,5.42,0.94,36.45,62.0,Satisfactory
43892,2018-09-28,Delhi,109.43,279.81,35.51,16.31,2.31,36.97,249.0,Poor
1770,2018-09-28,Visakhapatnam,18.71,55.55,27.41,4.46,0.18,11.52,66.0,Satisfactory
84932,2018-09-28,Hyderabad,36.72,88.8,37.4,2.42,0.67,20.93,86.0,Satisfactory
60275,2018-09-28,Bengaluru,37.5,81.7,32.89,7.23,1.05,7.17,91.0,Satisfactory
27325,2018-09-28,Delhi,72.92,191.72,68.68,11.84,2.96,35.93,198.0,Moderate
39334,2018-09-28,Delhi,86.81,86.81,62.45,11.62,2.25,230.3,316.0,Very Poor
68619,2018-09-28,Bengaluru,26.18,63.6,19.59,6.16,0.67,18.63,109.0,Moderate
23650,2018-09-28,Delhi,83.06,123.92,58.61,3.66,1.64,37.19,181.0,Moderate
48850,2018-09-28,Delhi,52.54,116.92,16.61,11.54,0.95,47.29,139.0,Moderate
82585,2018-09-29,Jaipur,42.75,77.4,27.12,11.0,1.55,23.37,107.0,Moderate
32858,2018-09-29,Delhi,53.12,132.28,18.44,11.38,1.45,35.54,117.0,Moderate
33740,2018-09-29,Delhi,110.06,242.65,43.65,9.1,1.14,33.12,245.0,Poor
25415,2018-09-29,Delhi,54.57,193.55,43.35,11.75,2.34,33.78,174.0,Moderate
83818,2018-09-29,Hyderabad,55.81,110.08,20.41,7.0,0.5,10.09,94.0,Satisfactory
48851,2018-09-29,Delhi,60.94,146.3,22.57,10.12,1.21,47.17,157.0,Moderate
91337,2018-09-29,Hyderabad,72.16,105.38,38.34,2.79,0.86,28.67,128.0,Moderate
39335,2018-09-29,Delhi,251.7,251.7,64.84,11.12,1.44,242.79,340.0,Very Poor
72205,2018-09-29,Mumbai,44.05,112.39,31.84,17.12,1.94,47.98,106.0,Moderate
15282,2018-09-29,Delhi,77.76,216.72,48.35,6.6,0.91,34.3,173.0,Moderate
37422,2018-09-29,Delhi,101.89,247.53,20.81,1.56,1.34,25.54,218.0,Poor
48121,2018-09-29,Delhi,87.19,223.53,29.34,8.55,3.62,53.88,200.0,Moderate
84933,2018-09-29,Hyderabad,50.09,105.0,37.42,4.48,0.77,26.8,97.0,Satisfactory
63440,2018-09-29,Bengaluru,13.56,38.91,16.57,2.84,0.69,24.98,66.0,Satisfactory
29237,2018-09-29,Delhi,65.04,126.11,25.72,6.37,0.69,22.47,110.0,Moderate
309,2018-09-29,Amaravati,14.58,41.04,15.29,14.92,0.85,20.11,61.0,Satisfactory
86166,2018-09-29,Hyderabad,48.26,95.92,15.97,13.95,0.41,20.99,97.0,Satisfactory
80489,2018-09-29,Jaipur,41.35,340.26,41.35,11.77,1.15,23.78,249.0,Poor
7770,2018-09-29,Delhi,131.09,390.62,110.24,21.68,2.68,25.91,462.0,Severe
27326,2018-09-29,Delhi,73.72,213.44,68.96,10.47,2.25,42.56,206.0,Poor
29967,2018-09-29,Delhi,101.21,409.39,37.26,19.72,1.46,36.9,365.0,Very Poor
87566,2018-09-29,Hyderabad,51.27,121.73,74.76,4.37,0.74,4.46,111.0,Moderate
43893,2018-09-29,Delhi,102.33,259.39,34.5,17.11,1.49,39.57,245.0,Poor
70196,2018-09-29,Thiruvananthapuram,15.29,27.84,7.36,5.54,0.97,40.25,58.0,Satisfactory
16164,2018-09-29,Delhi,72.69,234.06,63.02,24.72,1.9,55.54,192.0,Moderate
81603,2018-09-29,Jaipur,83.11,211.36,24.9,6.85,1.36,20.92,166.0,Moderate
62710,2018-09-29,Bengaluru,18.91,62.0,31.46,4.88,1.64,13.91,56.0,Satisfactory
24533,2018-09-29,Delhi,103.58,262.54,53.14,12.43,2.08,29.66,253.0,Poor
60276,2018-09-29,Bengaluru,22.54,58.46,26.71,6.88,0.88,7.4,68.0,Satisfactory
43011,2018-09-29,Delhi,84.45,219.62,74.61,14.8,2.05,61.9,213.0,Poor
68620,2018-09-29,Bengaluru,16.0,48.42,16.84,4.22,0.64,16.26,81.0,Satisfactory
34622,2018-09-29,Delhi,91.93,237.03,51.39,9.0,2.1,33.06,270.0,Poor
8652,2018-09-29,Delhi,76.56,222.21,67.02,18.61,0.34,46.48,198.0,Moderate
49733,2018-09-29,Delhi,143.41,269.71,41.26,15.97,1.42,35.13,328.0,Very Poor
17046,2018-09-29,Delhi,76.65,296.38,41.17,8.65,2.55,33.73,318.0,Very Poor
1771,2018-09-29,Visakhapatnam,28.19,86.03,26.8,2.81,0.56,21.05,70.0,Satisfactory
107393,2018-09-29,Kolkata,60.23,94.97,51.87,4.28,1.52,23.9,103.0,Moderate
36540,2018-09-29,Delhi,93.98,242.6,14.75,11.07,2.06,32.06,231.0,Poor
23651,2018-09-29,Delhi,96.8,170.56,57.15,4.55,1.39,42.31,215.0,Poor
10410,2018-09-29,Delhi,104.61,293.27,12.79,8.62,1.5,54.01,274.0,Poor
40065,2018-09-29,Delhi,68.35,229.88,85.49,11.44,2.27,22.26,182.0,Moderate
7771,2018-09-30,Delhi,65.85,202.86,99.5,20.34,2.26,22.15,213.0,Poor
43894,2018-09-30,Delhi,73.0,137.21,14.45,16.07,0.85,21.23,177.0,Moderate
32859,2018-09-30,Delhi,47.91,112.33,14.67,5.74,1.27,36.53,115.0,Moderate
25416,2018-09-30,Delhi,30.4,121.09,31.67,13.14,1.05,38.91,137.0,Moderate
29238,2018-09-30,Delhi,45.53,80.39,17.67,6.08,0.65,22.0,103.0,Moderate
17047,2018-09-30,Delhi,54.99,187.38,27.14,12.79,1.75,31.75,168.0,Moderate
63441,2018-09-30,Bengaluru,17.5,46.95,17.44,1.43,0.67,36.96,76.0,Satisfactory
1772,2018-09-30,Visakhapatnam,52.09,119.12,27.89,3.09,0.46,36.61,104.0,Moderate
23652,2018-09-30,Delhi,66.74,101.99,37.29,4.11,0.84,40.7,160.0,Moderate
91338,2018-09-30,Hyderabad,78.94,140.28,44.7,3.39,0.88,34.43,149.0,Moderate
86167,2018-09-30,Hyderabad,64.2,131.69,16.53,21.59,0.43,27.53,105.0,Moderate
27327,2018-09-30,Delhi,50.71,128.31,53.72,11.89,1.06,39.85,143.0,Moderate
39336,2018-09-30,Delhi,387.59,387.59,55.04,15.28,0.82,131.07,556.0,Severe
70197,2018-09-30,Thiruvananthapuram,21.93,35.57,8.24,5.25,0.96,31.92,57.0,Satisfactory
82586,2018-09-30,Jaipur,40.64,84.8,17.04,7.9,1.32,30.85,93.0,Satisfactory
87567,2018-09-30,Hyderabad,69.9,140.7,79.31,9.0,0.68,4.24,121.0,Moderate
29968,2018-09-30,Delhi,75.47,235.77,25.17,22.36,1.21,32.53,244.0,Poor
8653,2018-09-30,Delhi,53.94,143.4,63.16,20.01,0.37,35.75,155.0,Moderate
49734,2018-09-30,Delhi,68.44,155.79,26.92,15.76,2.65,21.08,204.0,Poor
107394,2018-09-30,Kolkata,66.41,108.46,41.87,3.24,1.5,35.84,121.0,Moderate
36541,2018-09-30,Delhi,58.29,144.92,11.81,10.63,0.93,16.43,150.0,Moderate
10411,2018-09-30,Delhi,64.1,140.82,7.13,6.61,1.01,41.42,166.0,Moderate
68621,2018-09-30,Bengaluru,20.23,60.75,20.26,6.03,0.64,16.19,82.0,Satisfactory
33741,2018-09-30,Delhi,58.73,112.48,23.67,6.51,0.78,26.66,166.0,Moderate
62711,2018-09-30,Bengaluru,19.91,47.62,22.98,3.58,1.1,15.84,75.0,Satisfactory
50616,2018-09-30,Delhi,62.71,228.75,40.86,24.71,1.08,30.8,159.0,Moderate
60277,2018-09-30,Bengaluru,28.49,82.36,30.53,6.87,1.15,9.14,78.0,Satisfactory
81604,2018-09-30,Jaipur,77.08,222.71,31.82,6.96,1.0,17.91,179.0,Moderate
48122,2018-09-30,Delhi,36.83,116.67,22.19,5.6,0.77,41.97,188.0,Moderate
16165,2018-09-30,Delhi,55.71,177.22,49.86,22.86,1.3,58.65,176.0,Moderate
37423,2018-09-30,Delhi,52.54,140.67,15.88,1.79,0.73,22.0,153.0,Moderate
48852,2018-09-30,Delhi,47.58,105.93,16.14,7.56,0.63,55.17,144.0,Moderate
40066,2018-09-30,Delhi,55.92,186.08,70.58,9.81,1.38,22.5,179.0,Moderate
15283,2018-09-30,Delhi,54.07,135.55,25.03,6.02,0.56,17.94,149.0,Moderate
72206,2018-09-30,Mumbai,54.77,141.2,32.42,20.79,2.32,55.94,122.0,Moderate
80490,2018-09-30,Jaipur,34.99,201.5,42.36,15.06,1.11,25.83,181.0,Moderate
83819,2018-09-30,Hyderabad,68.05,101.83,17.86,7.39,0.52,14.62,119.0,Moderate
34623,2018-09-30,Delhi,59.4,131.59,38.07,8.8,1.23,35.08,142.0,Moderate
84934,2018-09-30,Hyderabad,62.72,133.03,33.29,2.97,0.67,45.4,111.0,Moderate
24534,2018-09-30,Delhi,100.62,220.29,42.4,12.17,1.74,26.06,247.0,Poor
43012,2018-09-30,Delhi,71.07,161.43,64.3,16.77,1.41,62.06,158.0,Moderate
91339,2018-10-01,Hyderabad,78.19,136.97,48.65,3.35,0.84,34.98,163.0,Moderate
37424,2018-10-01,Delhi,58.57,169.31,18.42,2.03,0.89,26.35,129.0,Moderate
25417,2018-10-01,Delhi,43.16,162.78,42.09,14.48,1.47,42.47,141.0,Moderate
82587,2018-10-01,Jaipur,44.1,74.28,14.89,8.86,1.14,30.24,93.0,Satisfactory
107395,2018-10-01,Kolkata,70.58,134.51,62.14,6.26,1.78,31.93,143.0,Moderate
80491,2018-10-01,Jaipur,36.6,135.27,43.66,16.16,1.15,25.88,137.0,Moderate
40067,2018-10-01,Delhi,55.9,191.23,71.99,10.36,1.69,20.99,151.0,Moderate
16166,2018-10-01,Delhi,63.24,214.11,62.51,23.85,1.63,60.8,194.0,Moderate
311,2018-10-01,Amaravati,8.98,37.07,12.51,8.48,0.75,21.47,49.0,Good
81605,2018-10-01,Jaipur,62.71,152.41,32.38,7.99,1.2,16.35,152.0,Moderate
34624,2018-10-01,Delhi,71.93,177.67,53.23,11.11,1.54,41.96,137.0,Moderate
49735,2018-10-01,Delhi,77.06,195.73,37.19,17.34,1.38,26.31,144.0,Moderate
43013,2018-10-01,Delhi,87.66,215.15,76.43,18.11,1.82,61.5,153.0,Moderate
68622,2018-10-01,Bengaluru,21.38,55.17,18.78,7.43,1.06,15.59,94.0,Satisfactory
39337,2018-10-01,Delhi,59.76,59.76,65.66,9.61,1.02,166.42,315.0,Very Poor
86168,2018-10-01,Hyderabad,64.09,128.47,19.86,16.97,0.46,25.86,129.0,Moderate
70198,2018-10-01,Thiruvananthapuram,23.75,43.0,9.79,4.94,1.14,29.32,64.0,Satisfactory
7772,2018-10-01,Delhi,68.19,207.75,110.89,23.02,1.97,27.1,183.0,Moderate
24535,2018-10-01,Delhi,92.29,231.0,49.0,14.11,1.88,24.58,207.0,Poor
29239,2018-10-01,Delhi,48.0,97.43,23.95,5.94,0.64,23.32,82.0,Satisfactory
72207,2018-10-01,Mumbai,49.35,130.79,31.92,16.35,2.21,46.39,128.0,Moderate
27328,2018-10-01,Delhi,62.39,114.76,64.58,12.32,1.53,42.32,148.0,Moderate
8654,2018-10-01,Delhi,60.52,178.4,65.41,21.23,0.43,44.04,133.0,Moderate
23653,2018-10-01,Delhi,65.91,119.76,50.48,5.39,1.05,37.85,121.0,Moderate
36542,2018-10-01,Delhi,66.79,189.62,15.21,10.43,1.34,16.4,139.0,Moderate
